personaje,pose,rotacion,archivo,ancho,alto,offset_x,offset_y,visible_x,visible_y,visible_ancho,visible_alto
caella,acostado,2,src/sprites/caelum/rest/caella/RSCAB2.png,256,256,128,244,62,132,131,112
caella,acostado,3,src/sprites/caelum/rest/caella/RSCAB3.png,256,256,128,244,33,186,189,58
caella,acostado,4,src/sprites/caelum/rest/caella/RSCAB4.png,256,256,128,244,54,138,147,106
caella,acostado,5,src/sprites/caelum/rest/caella/RSCAB5.png,256,256,128,244,75,138,106,106
caella,acostado,6,src/sprites/caelum/rest/caella/RSCAB6.png,256,256,128,244,65,139,125,105
caella,acostado,7,src/sprites/caelum/rest/caella/RSCAB7.png,256,256,128,244,33,185,190,59
caella,acostado,8,src/sprites/caelum/rest/caella/RSCAB8.png,256,256,128,244,50,137,155,107
domingo,sentado,1,src/sprites/caelum/rest/domingo/RSDOA1.png,256,256,128,244,85,102,86,142
domingo,sentado,2,src/sprites/caelum/rest/domingo/RSDOA2.png,256,256,128,244,79,102,98,142
domingo,sentado,3,src/sprites/caelum/rest/domingo/RSDOA3.png,256,256,128,244,86,106,84,138
domingo,sentado,4,src/sprites/caelum/rest/domingo/RSDOA4.png,256,256,128,244,79,107,97,137
domingo,sentado,5,src/sprites/caelum/rest/domingo/RSDOA5.png,256,256,128,244,85,105,86,139
domingo,sentado,6,src/sprites/caelum/rest/domingo/RSDOA6.png,256,256,128,244,76,103,103,141
domingo,sentado,7,src/sprites/caelum/rest/domingo/RSDOA7.png,256,256,128,244,82,105,92,139
domingo,sentado,8,src/sprites/caelum/rest/domingo/RSDOA8.png,256,256,128,244,80,101,96,143
domingo,acostado,1,src/sprites/caelum/rest/domingo/RSDOB1.png,256,256,128,244,79,137,98,107
domingo,acostado,2,src/sprites/caelum/rest/domingo/RSDOB2.png,256,256,128,244,63,129,130,115
domingo,acostado,3,src/sprites/caelum/rest/domingo/RSDOB3.png,256,256,128,244,33,195,190,49
domingo,acostado,4,src/sprites/caelum/rest/domingo/RSDOB4.png,256,256,128,244,50,134,155,110
domingo,acostado,5,src/sprites/caelum/rest/domingo/RSDOB5.png,256,256,128,244,78,140,99,104
domingo,acostado,6,src/sprites/caelum/rest/domingo/RSDOB6.png,256,256,128,244,60,147,136,97
domingo,acostado,7,src/sprites/caelum/rest/domingo/RSDOB7.png,256,256,128,244,37,197,182,47
domingo,acostado,8,src/sprites/caelum/rest/domingo/RSDOB8.png,256,256,128,244,51,130,154,114
