id,label,tier,phase_name,sprite,composite,state_label,grip,layer_order
axe,hacha,1,Reposo (movimiento mediante el rig),F061A0,C061A0,CA_FP1_axe_T1_A,closed,"['F061A0', 'FH00A0']"
axe,hacha,2,Reposo (movimiento mediante el rig),F062A0,C062A0,CA_FP1_axe_T2_A,closed,"['F062A0', 'FH00A0']"
axe,hacha,3,Reposo (movimiento mediante el rig),F063A0,C063A0,CA_FP1_axe_T3_A,closed,"['F063A0', 'FH00A0']"
flail,mangual,1,Reposo (movimiento mediante el rig),F071A0,C071A0,CA_FP1_flail_T1_A,closed,"['F071A0', 'FH00A0']"
flail,mangual,2,Reposo (movimiento mediante el rig),F072A0,C072A0,CA_FP1_flail_T2_A,closed,"['F072A0', 'FH00A0']"
flail,mangual,3,Reposo (movimiento mediante el rig),F073A0,C073A0,CA_FP1_flail_T3_A,closed,"['F073A0', 'FH00A0']"
spear,lanza,1,Reposo (movimiento mediante el rig),F081A0,C081A0,CA_FP1_spear_T1_A,closed,"['F081A0', 'FH00A0']"
spear,lanza,2,Reposo (movimiento mediante el rig),F082A0,C082A0,CA_FP1_spear_T2_A,closed,"['F082A0', 'FH00A0']"
spear,lanza,3,Reposo (movimiento mediante el rig),F083A0,C083A0,CA_FP1_spear_T3_A,closed,"['F083A0', 'FH00A0']"
greatsword,mandoble,1,Reposo (movimiento mediante el rig),F091A0,C091A0,CA_FP1_greatsword_T1_A,closed,"['F091A0', 'FH00A0']"
greatsword,mandoble,2,Reposo (movimiento mediante el rig),F092A0,C092A0,CA_FP1_greatsword_T2_A,closed,"['F092A0', 'FH00A0']"
greatsword,mandoble,3,Reposo (movimiento mediante el rig),F093A0,C093A0,CA_FP1_greatsword_T3_A,closed,"['F093A0', 'FH00A0']"
war_axe,hacha de guerra,1,Reposo (movimiento mediante el rig),F101A0,C101A0,CA_FP1_war_axe_T1_A,closed,"['F101A0', 'FH00A0']"
war_axe,hacha de guerra,2,Reposo (movimiento mediante el rig),F102A0,C102A0,CA_FP1_war_axe_T2_A,closed,"['F102A0', 'FH00A0']"
war_axe,hacha de guerra,3,Reposo (movimiento mediante el rig),F103A0,C103A0,CA_FP1_war_axe_T3_A,closed,"['F103A0', 'FH00A0']"
halberd,alabarda,1,Reposo (movimiento mediante el rig),F111A0,C111A0,CA_FP1_halberd_T1_A,closed,"['F111A0', 'FH00A0']"
halberd,alabarda,2,Reposo (movimiento mediante el rig),F112A0,C112A0,CA_FP1_halberd_T2_A,closed,"['F112A0', 'FH00A0']"
halberd,alabarda,3,Reposo (movimiento mediante el rig),F113A0,C113A0,CA_FP1_halberd_T3_A,closed,"['F113A0', 'FH00A0']"
staff,bastón,1,Reposo (movimiento mediante el rig),F121A0,C121A0,CA_FP1_staff_T1_A,closed,"['F121A0', 'FH00A0']"
staff,bastón,2,Reposo (movimiento mediante el rig),F122A0,C122A0,CA_FP1_staff_T2_A,closed,"['F122A0', 'FH00A0']"
staff,bastón,3,Reposo (movimiento mediante el rig),F123A0,C123A0,CA_FP1_staff_T3_A,closed,"['F123A0', 'FH00A0']"
statuette,estatuilla,1,Reposo (movimiento mediante el rig),F131A0,C131A0,CA_FP1_statuette_T1_A,closed,"['F131A0', 'FH00A0']"
statuette,estatuilla,2,Reposo (movimiento mediante el rig),F132A0,C132A0,CA_FP1_statuette_T2_A,closed,"['F132A0', 'FH00A0']"
statuette,estatuilla,3,Reposo (movimiento mediante el rig),F133A0,C133A0,CA_FP1_statuette_T3_A,closed,"['F133A0', 'FH00A0']"
bell,campana,1,Reposo / campana colgante,F141A0,C141A0,CA_FP1_bell_T1_A,bell,"['F141A0', 'FH01A0']"
bell,campana,2,Reposo / campana colgante,F142A0,C142A0,CA_FP1_bell_T2_A,bell,"['F142A0', 'FH01A0']"
bell,campana,3,Reposo / campana colgante,F143A0,C143A0,CA_FP1_bell_T3_A,bell,"['F143A0', 'FH01A0']"
book,libro,1,Abierto,F151A0,C151A0,CA_FP1_book_T1_A,book,"['FH02A0', 'F151A0']"
book,libro,2,Abierto,F152A0,C152A0,CA_FP1_book_T2_A,book,"['FH02A0', 'F152A0']"
book,libro,3,Abierto,F153A0,C153A0,CA_FP1_book_T3_A,book,"['FH02A0', 'F153A0']"
book,libro,1,Cerrado,F151B0,C151B0,CA_FP1_book_T1_B,book,"['FH02A0', 'F151B0']"
book,libro,2,Cerrado,F152B0,C152B0,CA_FP1_book_T2_B,book,"['FH02A0', 'F152B0']"
book,libro,3,Cerrado,F153B0,C153B0,CA_FP1_book_T3_B,book,"['FH02A0', 'F153B0']"
standard_bow,arco corto,1,Flecha colocada,F161A0,C161A0,CA_FP1_standard_bow_T1_A,bow,"['F161A0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,2,Flecha colocada,F162A0,C162A0,CA_FP1_standard_bow_T2_A,bow,"['F162A0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,3,Flecha colocada,F163A0,C163A0,CA_FP1_standard_bow_T3_A,bow,"['F163A0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,1,Tensado,F161B0,C161B0,CA_FP1_standard_bow_T1_B,bow,"['F161B0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,2,Tensado,F162B0,C162B0,CA_FP1_standard_bow_T2_B,bow,"['F162B0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,3,Tensado,F163B0,C163B0,CA_FP1_standard_bow_T3_B,bow,"['F163B0', 'FH03A0', 'FH04A0']"
standard_bow,arco corto,1,Tras soltar / sin flecha,F161C0,C161C0,CA_FP1_standard_bow_T1_C,bow,"['F161C0', 'FH03A0', 'FH07A0']"
standard_bow,arco corto,2,Tras soltar / sin flecha,F162C0,C162C0,CA_FP1_standard_bow_T2_C,bow,"['F162C0', 'FH03A0', 'FH07A0']"
standard_bow,arco corto,3,Tras soltar / sin flecha,F163C0,C163C0,CA_FP1_standard_bow_T3_C,bow,"['F163C0', 'FH03A0', 'FH07A0']"
longbow,arco largo,1,Flecha colocada,F171A0,C171A0,CA_FP1_longbow_T1_A,bow,"['F171A0', 'FH03A0', 'FH04A0']"
longbow,arco largo,2,Flecha colocada,F172A0,C172A0,CA_FP1_longbow_T2_A,bow,"['F172A0', 'FH03A0', 'FH04A0']"
longbow,arco largo,3,Flecha colocada,F173A0,C173A0,CA_FP1_longbow_T3_A,bow,"['F173A0', 'FH03A0', 'FH04A0']"
longbow,arco largo,1,Tensado,F171B0,C171B0,CA_FP1_longbow_T1_B,bow,"['F171B0', 'FH03A0', 'FH04A0']"
longbow,arco largo,2,Tensado,F172B0,C172B0,CA_FP1_longbow_T2_B,bow,"['F172B0', 'FH03A0', 'FH04A0']"
longbow,arco largo,3,Tensado,F173B0,C173B0,CA_FP1_longbow_T3_B,bow,"['F173B0', 'FH03A0', 'FH04A0']"
longbow,arco largo,1,Tras soltar / sin flecha,F171C0,C171C0,CA_FP1_longbow_T1_C,bow,"['F171C0', 'FH03A0', 'FH07A0']"
longbow,arco largo,2,Tras soltar / sin flecha,F172C0,C172C0,CA_FP1_longbow_T2_C,bow,"['F172C0', 'FH03A0', 'FH07A0']"
longbow,arco largo,3,Tras soltar / sin flecha,F173C0,C173C0,CA_FP1_longbow_T3_C,bow,"['F173C0', 'FH03A0', 'FH07A0']"
crossbow,ballesta,1,Cargada,F181A0,C181A0,CA_FP1_crossbow_T1_A,crossbow,"['FH06A0', 'F181A0', 'FH05A0']"
crossbow,ballesta,2,Cargada,F182A0,C182A0,CA_FP1_crossbow_T2_A,crossbow,"['FH06A0', 'F182A0', 'FH05A0']"
crossbow,ballesta,3,Cargada,F183A0,C183A0,CA_FP1_crossbow_T3_A,crossbow,"['FH06A0', 'F183A0', 'FH05A0']"
crossbow,ballesta,1,Disparada / vacía,F181B0,C181B0,CA_FP1_crossbow_T1_B,crossbow,"['FH06A0', 'F181B0', 'FH05A0']"
crossbow,ballesta,2,Disparada / vacía,F182B0,C182B0,CA_FP1_crossbow_T2_B,crossbow,"['FH06A0', 'F182B0', 'FH05A0']"
crossbow,ballesta,3,Disparada / vacía,F183B0,C183B0,CA_FP1_crossbow_T3_B,crossbow,"['FH06A0', 'F183B0', 'FH05A0']"
crossbow,ballesta,1,Recarga,F181C0,C181C0,CA_FP1_crossbow_T1_C,crossbow,"['FH06A0', 'F181C0', 'FH05A0']"
crossbow,ballesta,2,Recarga,F182C0,C182C0,CA_FP1_crossbow_T2_C,crossbow,"['FH06A0', 'F182C0', 'FH05A0']"
crossbow,ballesta,3,Recarga,F183C0,C183C0,CA_FP1_crossbow_T3_C,crossbow,"['FH06A0', 'F183C0', 'FH05A0']"
carbine,carabina,1,Preparada,F191A0,C191A0,CA_FP1_carbine_T1_A,gun,"['FH06A0', 'F191A0', 'FH05A0']"
carbine,carabina,2,Preparada,F192A0,C192A0,CA_FP1_carbine_T2_A,gun,"['FH06A0', 'F192A0', 'FH05A0']"
carbine,carabina,3,Preparada,F193A0,C193A0,CA_FP1_carbine_T3_A,gun,"['FH06A0', 'F193A0', 'FH05A0']"
carbine,carabina,1,Disparo / retroceso,F191B0,C191B0,CA_FP1_carbine_T1_B,gun,"['FH06A0', 'F191B0', 'FH05A0']"
carbine,carabina,2,Disparo / retroceso,F192B0,C192B0,CA_FP1_carbine_T2_B,gun,"['FH06A0', 'F192B0', 'FH05A0']"
carbine,carabina,3,Disparo / retroceso,F193B0,C193B0,CA_FP1_carbine_T3_B,gun,"['FH06A0', 'F193B0', 'FH05A0']"
carbine,carabina,1,Recarga / recámara abierta,F191C0,C191C0,CA_FP1_carbine_T1_C,gun,"['FH06A0', 'F191C0', 'FH05A0']"
carbine,carabina,2,Recarga / recámara abierta,F192C0,C192C0,CA_FP1_carbine_T2_C,gun,"['FH06A0', 'F192C0', 'FH05A0']"
carbine,carabina,3,Recarga / recámara abierta,F193C0,C193C0,CA_FP1_carbine_T3_C,gun,"['FH06A0', 'F193C0', 'FH05A0']"
giant_gauntlets,guanteletes gigantes,1,Guardia,F201A0,C201A0,CA_FP1_giant_gauntlets_T1_A,gauntlets,['F201A0']
giant_gauntlets,guanteletes gigantes,2,Guardia,F202A0,C202A0,CA_FP1_giant_gauntlets_T2_A,gauntlets,['F202A0']
giant_gauntlets,guanteletes gigantes,3,Guardia,F203A0,C203A0,CA_FP1_giant_gauntlets_T3_A,gauntlets,['F203A0']
giant_gauntlets,guanteletes gigantes,1,Puño derecho,F201B0,C201B0,CA_FP1_giant_gauntlets_T1_B,gauntlets,['F201B0']
giant_gauntlets,guanteletes gigantes,2,Puño derecho,F202B0,C202B0,CA_FP1_giant_gauntlets_T2_B,gauntlets,['F202B0']
giant_gauntlets,guanteletes gigantes,3,Puño derecho,F203B0,C203B0,CA_FP1_giant_gauntlets_T3_B,gauntlets,['F203B0']
giant_gauntlets,guanteletes gigantes,1,Puño izquierdo,F201C0,C201C0,CA_FP1_giant_gauntlets_T1_C,gauntlets,['F201C0']
giant_gauntlets,guanteletes gigantes,2,Puño izquierdo,F202C0,C202C0,CA_FP1_giant_gauntlets_T2_C,gauntlets,['F202C0']
giant_gauntlets,guanteletes gigantes,3,Puño izquierdo,F203C0,C203C0,CA_FP1_giant_gauntlets_T3_C,gauntlets,['F203C0']
